project_id,project_name,department,project_manager,priority,status,risk_level,start_date,planned_end_date,actual_end_date,planned_budget,actual_cost,completion_pct,team_size
P001,ERP System Migration,IT,Sarah Johnson,High,Completed,Low,2024-01-08,2024-06-30,2024-07-12,320000,341500,100,8
P002,Customer Portal Redesign,Marketing,Carlos Rivera,High,Completed,Medium,2024-01-15,2024-05-31,2024-05-28,145000,138200,100,5
P003,Data Warehouse Modernization,Data & Analytics,Stiven Pena,High,In Progress,Medium,2024-02-01,2024-09-30,,280000,198400,71,6
P004,HR Onboarding Automation,HR,Emily Chen,Medium,Completed,Low,2024-01-22,2024-04-30,2024-04-25,62000,58900,100,3
P005,Supply Chain Dashboard,Operations,James Miller,High,In Progress,High,2024-02-12,2024-08-31,,175000,156300,89,5
P006,Mobile App v2.0,Product,Sarah Johnson,High,At Risk,High,2024-03-01,2024-08-15,,420000,387500,62,10
P007,Cybersecurity Audit & Remediation,IT,Carlos Rivera,High,Completed,Medium,2024-01-29,2024-05-15,2024-05-20,98000,102400,100,4
P008,Marketing Attribution Model,Data & Analytics,Stiven Pena,Medium,In Progress,Low,2024-03-15,2024-09-15,,90000,54800,61,3
P009,Accounts Payable Automation,Finance,Emily Chen,Medium,Completed,Low,2024-02-05,2024-06-28,2024-06-30,115000,109300,100,4
P010,Predictive Maintenance System,Operations,James Miller,High,In Progress,Medium,2024-04-01,2024-10-31,,260000,128700,49,7
P011,CRM Integration,Sales,Sarah Johnson,High,At Risk,High,2024-02-19,2024-07-31,,310000,298600,74,8
P012,Employee Performance Analytics,HR,Carlos Rivera,Low,In Progress,Low,2024-04-08,2024-10-15,,55000,28400,52,2
P013,Cloud Infrastructure Migration,IT,Stiven Pena,High,In Progress,Medium,2024-03-11,2024-10-31,,485000,312100,64,12
P014,E-commerce Platform Upgrade,Product,Emily Chen,High,Completed,Medium,2024-01-15,2024-06-15,2024-06-22,390000,405800,100,9
P015,Financial Reporting Automation,Finance,James Miller,Medium,Completed,Low,2024-02-26,2024-05-31,2024-05-29,78000,74200,100,3
P016,Customer Churn Prediction,Data & Analytics,Stiven Pena,High,In Progress,Medium,2024-04-15,2024-09-30,,140000,72600,52,4
P017,Sales Pipeline Analytics,Sales,Sarah Johnson,Medium,In Progress,Low,2024-05-01,2024-10-15,,88000,38500,44,3
P018,Inventory Optimization Tool,Operations,Carlos Rivera,Medium,On Hold,High,2024-03-18,2024-09-18,,165000,89200,34,5
P019,Compliance Management System,Finance,Emily Chen,High,In Progress,Medium,2024-04-22,2024-11-30,,210000,98400,47,6
P020,API Gateway Modernization,IT,James Miller,Medium,In Progress,Low,2024-05-06,2024-11-15,,128000,52300,41,4
P021,Social Media Analytics,Marketing,Stiven Pena,Low,In Progress,Low,2024-05-13,2024-10-31,,72000,27800,39,2
P022,Vendor Management Portal,Operations,Sarah Johnson,Low,On Hold,Medium,2024-04-29,2024-10-29,,95000,31200,22,3
P023,Real-Time Fraud Detection,Finance,Carlos Rivera,High,In Progress,High,2024-05-20,2024-12-31,,380000,128500,34,9
P024,Learning Management System,HR,Emily Chen,Medium,In Progress,Low,2024-06-03,2024-12-15,,118000,38700,33,4
P025,Business Intelligence Hub,Data & Analytics,Stiven Pena,High,In Progress,Medium,2024-06-10,2025-01-31,,350000,101400,29,8
